,values
0,738.0
1,739.0
2,717.0
3,695.0
4,718.0
5,708.0
6,715.0
7,734.0
8,753.0
9,755.0
10,746.0
11,722.0
12,745.0
13,737.0
14,738.0
15,739.0
16,757.0
17,741.0
18,758.0
19,762.0
20,786.0
21,789.0
22,797.0
23,787.0
24,776.0
25,763.0
26,770.0
27,762.0
28,772.0
29,738.0
30,728.0
31,733.0
32,690.0
33,683.0
34,630.0
35,621.0
36,646.0
37,623.0
38,632.0
39,632.0
40,627.0
41,643.0
42,661.0
43,723.0
44,728.0
45,756.0
46,758.0
47,716.0
48,669.0
49,659.0
50,725.0
51,707.0
52,736.0
53,761.0
54,743.0
55,721.0
56,708.0
57,721.0
58,712.0
59,706.0
60,720.0
61,733.0
62,750.0
63,752.0
64,729.0
65,727.0
66,729.0
67,719.0
68,709.0
69,717.0
70,729.0
71,722.0
72,708.0
73,718.0
74,706.0
75,690.0
76,676.0
77,685.0
78,653.0
79,654.0
80,643.0
81,668.0
82,669.0
83,670.0
84,680.0
85,675.0
86,649.0
87,630.0
88,606.0
89,598.0
90,606.0
91,606.0
92,587.0
93,604.0
94,705.0
95,741.0
96,717.0
97,741.0
98,747.0
99,755.0
100,746.0
101,718.0
102,680.0
103,633.0
104,629.0
105,635.0
106,634.0
107,637.0
108,626.0
109,631.0
110,625.0
111,622.0
112,614.0
113,617.0
114,603.0
115,596.0
116,596.0
117,603.0
118,596.0
119,637.0
120,661.0
121,684.0
122,697.0
123,753.0
124,708.0
125,699.0
126,705.0
127,665.0
128,641.0
129,664.0
130,700.0
131,720.0
132,723.0
133,725.0
134,717.0
135,712.0
136,730.0
137,740.0
138,733.0
139,765.0
140,750.0
141,762.0
142,739.0
143,746.0
144,750.0
145,750.0
146,773.0
147,787.0
148,744.0
149,762.0
150,738.0
151,727.0
152,765.0
153,797.0
154,758.0
155,775.0
156,784.0
157,767.0
158,742.0
159,739.0
160,776.0
161,792.0
162,780.0
163,809.0
164,821.0
165,780.0
166,760.0
167,741.0
168,735.0
169,744.0
170,773.0
171,763.0
172,765.0
173,763.0
174,734.0
175,742.0
176,731.0
177,744.0
178,739.0
179,745.0
180,740.0
181,748.0
182,711.0
183,725.0
184,713.0
185,678.0
186,658.0
187,659.0
188,632.0
189,646.0
190,634.0
191,701.0
192,703.0
193,694.0
194,666.0
195,642.0
196,621.0
197,611.0
198,648.0
199,646.0
200,672.0
201,697.0
202,673.0
203,671.0
204,659.0
205,657.0
206,668.0
207,684.0
208,712.0
209,743.0
210,751.0
211,759.0
212,751.0
213,704.0
214,680.0
215,660.0
216,715.0
217,718.0
218,746.0
219,752.0
220,756.0
221,755.0
222,756.0
223,729.0
224,732.0
225,750.0
226,749.0
227,771.0
228,764.0
229,769.0
230,775.0
231,735.0
232,734.0
233,740.0
234,724.0
235,731.0
236,733.0
237,740.0
238,759.0
239,762.0
240,751.0
241,763.0
242,777.0
243,764.0
244,762.0
245,736.0
246,741.0
247,707.0
248,720.0
249,720.0
250,722.0
251,710.0
252,708.0
253,704.0
254,694.0
255,692.0
256,658.0
257,645.0
258,658.0
259,715.0
260,760.0
261,835.0
262,838.0
263,812.0
264,760.0
265,752.0
266,742.0
267,705.0
268,713.0
269,714.0
270,700.0
271,725.0
272,716.0
273,720.0
274,741.0
275,715.0
276,733.0
277,751.0
278,725.0
279,715.0
280,698.0
281,702.0
282,708.0
283,702.0
284,694.0
285,723.0
286,735.0
287,725.0
288,722.0
289,703.0
290,695.0
291,675.0
292,656.0
293,659.0
294,626.0
295,664.0
296,694.0
297,717.0
298,718.0
299,713.0
300,697.0
301,696.0
302,686.0
303,686.0
304,703.0
305,701.0
306,717.0
307,722.0
308,732.0
309,715.0
310,718.0
311,721.0
312,723.0
313,728.0
314,753.0
315,741.0
316,749.0
317,728.0
318,716.0
319,709.0
320,714.0
321,725.0
322,724.0
323,701.0
324,685.0
325,675.0
326,686.0
327,712.0
328,720.0
329,721.0
330,694.0
331,683.0
332,644.0
333,655.0
334,720.0
335,732.0
336,761.0
337,762.0
338,780.0
339,741.0
340,737.0
341,740.0
342,753.0
343,771.0
344,759.0
345,778.0
346,759.0
347,767.0
348,763.0
349,738.0
350,752.0
351,758.0
352,742.0
353,750.0
354,755.0
355,747.0
356,734.0
357,734.0
358,727.0
359,716.0
360,722.0
361,735.0
362,718.0
363,722.0
364,716.0
365,715.0
366,728.0
367,715.0
368,729.0
369,727.0
370,723.0
371,702.0
372,710.0
373,683.0
374,679.0
375,680.0
376,665.0
377,702.0
378,712.0
379,723.0
380,703.0
381,701.0
382,705.0
383,694.0
384,691.0
385,684.0
386,698.0
387,719.0
388,720.0
389,707.0
390,706.0
391,697.0
392,714.0
393,717.0
394,721.0
395,700.0
396,704.0
397,693.0
398,668.0
399,653.0
400,662.0
401,668.0
402,675.0
403,702.0
404,687.0
405,681.0
406,676.0
407,675.0
408,658.0
409,643.0
410,629.0
411,631.0
412,655.0
413,687.0
414,712.0
415,708.0
416,728.0
417,735.0
418,761.0
419,748.0
420,739.0
421,749.0
422,763.0
423,779.0
424,782.0
425,791.0
426,773.0
427,770.0
428,749.0
429,752.0
430,746.0
431,729.0
432,738.0
433,734.0
434,729.0
435,724.0
436,743.0
437,746.0
438,731.0
439,715.0
440,720.0
441,704.0
442,704.0
443,703.0
444,677.0
445,683.0
446,691.0
447,690.0
448,700.0
449,696.0
450,697.0
451,681.0
452,701.0
453,700.0
454,717.0
455,727.0
456,788.0
457,774.0
458,782.0
459,763.0
460,761.0
461,739.0
462,742.0
463,729.0
464,693.0
465,698.0
