,Data
0,-0.0
1,-0.0
2,-0.001
3,-0.002
4,-0.004
5,-0.008
6,-0.013
7,-0.018
8,-0.02
9,-0.017
10,-0.009
11,0.003
12,0.017
13,0.032
14,0.043
15,0.048
16,0.045
17,0.036
18,0.022
19,0.006
20,-0.008
21,-0.018
22,-0.022
23,-0.019
24,-0.011
25,0.001
26,0.012
27,0.02
28,0.019
29,0.009
30,-0.011
31,-0.037
32,-0.067
33,-0.093
34,-0.11
35,-0.115
36,-0.105
37,-0.08
38,-0.042
39,0.004
40,0.053
41,0.098
42,0.135
43,0.16
44,0.168
45,0.16
46,0.137
47,0.101
48,0.055
49,0.004
50,-0.048
51,-0.094
52,-0.132
53,-0.156
54,-0.166
55,-0.162
56,-0.143
57,-0.113
58,-0.073
59,-0.028
60,0.018
61,0.061
62,0.098
63,0.125
64,0.142
65,0.147
66,0.141
67,0.123
68,0.096
69,0.062
70,0.025
71,-0.011
72,-0.042
73,-0.065
74,-0.078
75,-0.082
76,-0.077
77,-0.066
78,-0.053
79,-0.038
80,-0.024
81,-0.011
82,0.0
83,0.011
84,0.021
85,0.03
86,0.038
87,0.044
88,0.045
89,0.039
90,0.026
91,0.004
92,-0.025
93,-0.058
94,-0.091
95,-0.121
96,-0.145
97,-0.159
98,-0.161
99,-0.151
100,-0.129
101,-0.095
102,-0.052
103,-0.003
104,0.049
105,0.099
106,0.144
107,0.18
108,0.207
109,0.224
110,0.231
111,0.23
112,0.221
113,0.205
114,0.181
115,0.151
116,0.117
117,0.079
118,0.039
119,-0.003
120,-0.046
121,-0.092
122,-0.138
123,-0.182
124,-0.221
125,-0.25
126,-0.267
127,-0.268
128,-0.252
129,-0.221
130,-0.177
131,-0.125
132,-0.071
133,-0.019
134,0.027
135,0.062
136,0.086
137,0.099
138,0.102
139,0.095
140,0.081
141,0.06
142,0.035
143,0.006
144,-0.021
145,-0.044
146,-0.06
147,-0.064
148,-0.055
149,-0.032
150,0.005
151,0.052
152,0.107
153,0.162
154,0.212
155,0.248
156,0.265
157,0.258
158,0.225
159,0.17
160,0.099
161,0.02
162,-0.058
163,-0.125
164,-0.173
165,-0.199
166,-0.2
167,-0.18
168,-0.143
169,-0.098
170,-0.051
171,-0.009
172,0.021
173,0.037
174,0.038
175,0.025
176,0.002
177,-0.027
178,-0.055
179,-0.079
180,-0.096
181,-0.104
182,-0.102
183,-0.093
184,-0.075
185,-0.054
186,-0.029
187,-0.005
188,0.016
189,0.035
190,0.05
191,0.061
192,0.068
193,0.072
194,0.073
195,0.071
196,0.069
197,0.067
198,0.064
199,0.06
200,0.055
201,0.047
202,0.037
203,0.023
204,0.008
205,-0.01
206,-0.029
207,-0.048
208,-0.069
209,-0.089
210,-0.109
211,-0.124
212,-0.133
213,-0.13
214,-0.114
215,-0.083
216,-0.038
217,0.017
218,0.079
219,0.141
220,0.197
221,0.242
222,0.271
223,0.281
224,0.271
225,0.242
226,0.194
227,0.134
228,0.065
229,-0.005
230,-0.071
231,-0.128
232,-0.174
233,-0.207
234,-0.229
235,-0.24
236,-0.243
237,-0.238
238,-0.225
239,-0.203
240,-0.173
241,-0.136
242,-0.096
243,-0.054
244,-0.014
245,0.021
246,0.048
247,0.068
248,0.082
249,0.089
250,0.092
251,0.092
252,0.09
253,0.086
254,0.079
255,0.069
256,0.055
257,0.04
258,0.024
259,0.011
260,0.001
261,-0.003
262,0.001
263,0.013
264,0.031
265,0.051
266,0.071
267,0.086
268,0.093
269,0.092
270,0.084
271,0.069
272,0.049
273,0.026
274,0.003
275,-0.02
276,-0.041
277,-0.059
278,-0.073
279,-0.082
280,-0.084
281,-0.078
282,-0.063
283,-0.041
284,-0.015
285,0.011
286,0.032
287,0.045
288,0.047
289,0.038
290,0.017
291,-0.011
292,-0.045
293,-0.08
294,-0.115
295,-0.147
296,-0.171
297,-0.187
298,-0.191
299,-0.183
300,-0.16
301,-0.126
302,-0.08
303,-0.026
304,0.034
305,0.097
306,0.159
307,0.216
308,0.264
309,0.298
310,0.316
311,0.314
312,0.293
313,0.253
314,0.199
315,0.135
316,0.067
317,-0.0
318,-0.06
319,-0.108
320,-0.141
321,-0.16
322,-0.164
323,-0.156
324,-0.139
325,-0.116
326,-0.093
327,-0.071
328,-0.055
329,-0.048
330,-0.05
331,-0.062
332,-0.082
333,-0.107
334,-0.135
335,-0.161
336,-0.181
337,-0.193
338,-0.191
339,-0.175
340,-0.142
341,-0.092
342,-0.03
343,0.042
344,0.118
345,0.19
346,0.253
347,0.299
348,0.326
349,0.329
350,0.309
351,0.269
352,0.213
353,0.15
354,0.086
355,0.031
356,-0.011
357,-0.035
358,-0.043
359,-0.036
360,-0.021
361,-0.006
362,0.004
363,0.002
364,-0.013
365,-0.041
366,-0.079
367,-0.123
368,-0.168
369,-0.208
370,-0.238
371,-0.255
372,-0.257
373,-0.242
374,-0.212
375,-0.168
376,-0.114
377,-0.054
378,0.006
379,0.062
380,0.109
381,0.147
382,0.172
383,0.186
384,0.187
385,0.176
386,0.154
387,0.125
388,0.09
389,0.054
390,0.021
391,-0.004
392,-0.02
393,-0.025
394,-0.02
395,-0.006
396,0.014
397,0.037
398,0.059
399,0.077
400,0.088
401,0.09
402,0.083
403,0.066
404,0.041
405,0.009
406,-0.028
407,-0.066
408,-0.1
409,-0.124
410,-0.135
411,-0.132
412,-0.113
413,-0.082
414,-0.044
415,-0.005
416,0.027
417,0.045
418,0.044
419,0.021
420,-0.022
421,-0.079
422,-0.141
423,-0.199
424,-0.241
425,-0.26
426,-0.251
427,-0.213
428,-0.149
429,-0.067
430,0.027
431,0.122
432,0.209
433,0.282
434,0.334
435,0.362
436,0.366
437,0.345
438,0.304
439,0.244
440,0.173
441,0.096
442,0.02
443,-0.048
444,-0.104
445,-0.143
446,-0.165
447,-0.169
448,-0.159
449,-0.137
450,-0.109
451,-0.08
452,-0.055
453,-0.035
454,-0.022
455,-0.015
456,-0.014
457,-0.018
458,-0.025
459,-0.034
460,-0.044
461,-0.051
462,-0.054
463,-0.052
464,-0.044
465,-0.03
466,-0.012
467,0.009
468,0.029
469,0.047
470,0.06
471,0.067
472,0.064
473,0.051
474,0.029
475,-0.001
476,-0.036
477,-0.071
478,-0.101
479,-0.123
480,-0.134
481,-0.13
482,-0.113
483,-0.083
484,-0.043
485,0.002
486,0.05
487,0.096
488,0.137
489,0.168
490,0.188
491,0.195
492,0.19
493,0.174
494,0.151
495,0.124
496,0.096
497,0.069
498,0.044
499,0.021
500,-0.0
501,-0.021
502,-0.042
503,-0.064
504,-0.085
505,-0.105
506,-0.122
507,-0.133
508,-0.136
509,-0.131
510,-0.117
511,-0.095
512,-0.068
513,-0.039
514,-0.012
515,0.011
516,0.028
517,0.036
518,0.034
519,0.024
520,0.006
521,-0.019
522,-0.047
523,-0.078
524,-0.107
525,-0.131
