,Time (s),ECG (mV)
0,0.0,-0.887604
1,0.001,-0.913849
2,0.002,-0.88623
3,0.003,-0.880127
4,0.004,-0.930634
5,0.005,-0.906525
6,0.006,-0.902557
7,0.007,-0.917511
8,0.008,-0.947723
9,0.009000000000000001,-0.975189
10,0.01,-0.93811
11,0.011,-0.946045
12,0.012,-0.951996
13,0.013000000000000001,-0.93689
14,0.014,-0.959778
15,0.015,-0.935364
16,0.016,-0.878143
17,0.017,-0.870361
18,0.018000000000000002,-0.907898
19,0.019,-0.903625
20,0.02,-0.883942
21,0.021,-0.93689
22,0.022,-0.914612
23,0.023,-0.914612
24,0.024,-0.892792
25,0.025,-0.931549
26,0.026000000000000002,-0.903931
27,0.027,-0.88623
28,0.028,-0.877533
29,0.029,-0.90683
30,0.03,-0.902557
31,0.031,-0.925293
32,0.032,-0.914001
33,0.033,-0.875702
34,0.034,-0.915833
35,0.035,-0.921173
36,0.036000000000000004,-0.878448
37,0.037,-0.850372
38,0.038,-0.850677
39,0.039,-0.807343
40,0.04,-0.86792
41,0.041,-0.818329
42,0.042,-0.843506
43,0.043000000000000003,-0.840454
44,0.044,-0.861816
45,0.045,-0.870667
46,0.046,-0.887299
47,0.047,-0.913239
48,0.048,-0.887146
49,0.049,-0.860138
50,0.05,-0.887909
51,0.051000000000000004,-0.904236
52,0.052000000000000005,-0.880585
53,0.053,-0.847015
54,0.054,-0.897522
55,0.055,-0.883636
56,0.056,-0.861969
57,0.057,-0.860138
58,0.058,-0.832977
59,0.059000000000000004,-0.874023
60,0.06,-0.851898
61,0.061,-0.886688
62,0.062,-0.943604
63,0.063,-0.906372
64,0.064,-0.924225
65,0.065,-0.962219
66,0.066,-0.932922
67,0.067,-0.912476
68,0.068,-0.914307
69,0.069,-0.906677
70,0.07,-0.918274
71,0.07100000000000001,-0.916748
72,0.07200000000000001,-0.922241
73,0.073,-0.889282
74,0.074,-0.903168
75,0.075,-0.904694
76,0.076,-0.856476
77,0.077,-0.875854
78,0.078,-0.850677
79,0.079,-0.861359
80,0.08,-0.869904
81,0.081,-0.875702
82,0.082,-0.912781
83,0.083,-0.861359
84,0.084,-0.860443
85,0.085,-0.870819
86,0.08600000000000001,-0.888367
87,0.08700000000000001,-0.858154
88,0.088,-0.90744
89,0.089,-0.830688
90,0.09,-0.821686
91,0.091,-0.841675
92,0.092,-0.821991
93,0.093,-0.883331
94,0.094,-0.883636
95,0.095,-0.888062
96,0.096,-0.891724
97,0.097,-0.875397
98,0.098,-0.889282
99,0.099,-0.870514
100,0.1,-0.894012
101,0.101,-0.917816
102,0.10200000000000001,-0.922394
103,0.10300000000000001,-0.919495
104,0.10400000000000001,-0.892792
105,0.105,-0.870209
106,0.106,-0.874329
107,0.107,-0.851746
108,0.108,-0.884705
109,0.109,-0.881805
110,0.11,-0.848846
111,0.111,-0.858154
112,0.112,-0.881042
113,0.113,-0.882721
